Year,Team,Record,Winning Percentage,,,,,,,,,,,,,,,,,
2016-17,Celtics,25-15,0.625,,,,,,,,,,,,,,,,,
2015-16,Celtics,48-34,0.585,,,,,,,,,,,,,,,,,
2014-15,Celtics,40-42,0.488,,,,,,,,,,,,,,,,,
2013-14,Celtics,25-57,0.305,,,,,,,,,,,,,,,,,
2012-13,Celtics,41-40,0.506,,,,,,,,,,,,,,,,,
2011-12,Celtics,39-27,0.591,,,,,,,,,,,,,,,,,
2010-11,Celtics,56-26,0.683,,,,,,,,,,,,,,,,,
2009-10,Celtics,50-32,0.61,,,,,,,,,,,,,,,,,
2008-09,Celtics,62-20,0.756,,,,,,,,,,,,,,,,,
2007-08,Celtics,66-16,0.805,,,,,,,,,,,,,,,,,
2006-07,Celtics,24-58,0.293,,,,,,,,,,,,,,,,,
2005-06,Celtics,33-49,0.402,,,,,,,,,,,,,,,,,
2004-05,Celtics,45-37,0.549,,,,,,,,,,,,,,,,,
2003-04,Celtics,36-46,0.439,,,,,,,,,,,,,,,,,
2002-03,Celtics,44-38,0.537,,,,,,,,,,,,,,,,,
2001-02,Celtics,49-33,0.598,,,,,,,,,,,,,,,,,
2000-01,Celtics,36-46,0.439,,,,,,,,,,,,,,,,,
2016-17,Hawks,23-17,0.575,,,,,,,,,,,,,,,,,
2015-16,Hawks,48-34,0.585,,,,,,,,,,,,,,,,,
2014-15,Hawks,60-22,0.732,,,,,,,,,,,,,,,,,
2013-14,Hawks,38-44,0.463,,,,,,,,,,,,,,,,,
2012-13,Hawks,44-38,0.537,,,,,,,,,,,,,,,,,
2011-12,Hawks,40-26,0.606,,,,,,,,,,,,,,,,,
2010-11,Hawks,44-38,0.537,,,,,,,,,,,,,,,,,
2009-10,Hawks,53-29,0.646,,,,,,,,,,,,,,,,,
2008-09,Hawks,47-35,0.573,,,,,,,,,,,,,,,,,
2007-08,Hawks,37-45,0.451,,,,,,,,,,,,,,,,,
2006-07,Hawks,30-52,0.366,,,,,,,,,,,,,,,,,
2005-06,Hawks,26-56,0.317,,,,,,,,,,,,,,,,,
2004-05,Hawks,13-69,0.159,,,,,,,,,,,,,,,,,
2003-04,Hawks,28-54,0.341,,,,,,,,,,,,,,,,,
2002-03,Hawks,35-47,0.427,,,,,,,,,,,,,,,,,
2001-02,Hawks,33-49,0.402,,,,,,,,,,,,,,,,,
2000-01,Hawks,25-57,0.305,,,,,,,,,,,,,,,,,
2016-17,Nets,9-33,0.214,,,,,,,,,,,,,,,,,
2015-16,Nets,21-61,0.256,,,,,,,,,,,,,,,,,
2014-15,Nets,38-44,0.463,,,,,,,,,,,,,,,,,
2013-14,Nets,44-38,0.537,,,,,,,,,,,,,,,,,
2012-13,Nets,49-33,0.598,,,,,,,,,,,,,,,,,
2011-12,Nets,22-44,0.333,,,,,,,,,,,,,,,,,
2010-11,Nets,24-58,0.293,,,,,,,,,,,,,,,,,
2009-10,Nets,12-70,0.146,,,,,,,,,,,,,,,,,
2008-09,Nets,34-48,0.415,,,,,,,,,,,,,,,,,
2007-08,Nets,34-48,0.415,,,,,,,,,,,,,,,,,
2006-07,Nets,41-41,0.5,,,,,,,,,,,,,,,,,
2005-06,Nets,49-33,0.598,,,,,,,,,,,,,,,,,
2004-05,Nets,42-40,0.512,,,,,,,,,,,,,,,,,
2003-04,Nets,47-35,0.573,,,,,,,,,,,,,,,,,
2002-03,Nets,49-33,0.598,,,,,,,,,,,,,,,,,
2001-02,Nets,52-30,0.634,,,,,,,,,,,,,,,,,
2000-01,Nets,26-56,0.317,,,,,,,,,,,,,,,,,
2016-17,Hornets,22-21,0.512,,,,,,,,,,,,,,,,,
2015-16,Hornets,48-34,0.585,,,,,,,,,,,,,,,,,
2014-15,Hornets,33-49,0.402,,,,,,,,,,,,,,,,,
2013-14,Hornets,43-39,0.524,,,,,,,,,,,,,,,,,
2012-13,Hornets,21-61,0.256,,,,,,,,,,,,,,,,,
2011-12,Hornets,7-59,0.106,,,,,,,,,,,,,,,,,
2010-11,Hornets,34-48,0.415,,,,,,,,,,,,,,,,,
2009-10,Hornets,44-38,0.537,,,,,,,,,,,,,,,,,
2008-09,Hornets,35-47,0.427,,,,,,,,,,,,,,,,,
2007-08,Hornets,32-50,0.39,,,,,,,,,,,,,,,,,
2006-07,Hornets,33-49,0.402,,,,,,,,,,,,,,,,,
2005-06,Hornets,26-56,0.317,,,,,,,,,,,,,,,,,
2004-05,Hornets,18-64,0.22,,,,,,,,,,,,,,,,,
2001-02,Hornets,44-38,0.537,,,,,,,,,,,,,,,,,
2000-01,Hornets,46-36,0.561,,,,,,,,,,,,,,,,,
2016-17,Bulls,21-23,0.477,,,,,,,,,,,,,,,,,
2015-16,Bulls,42-40,0.512,,,,,,,,,,,,,,,,,
2014-15,Bulls,50-32,0.61,,,,,,,,,,,,,,,,,
2013-14,Bulls,48-34,0.585,,,,,,,,,,,,,,,,,
2012-13,Bulls,45-37,0.549,,,,,,,,,,,,,,,,,
2011-12,Bulls,50-16,0.758,,,,,,,,,,,,,,,,,
2010-11,Bulls,62-20,0.756,,,,,,,,,,,,,,,,,
2009-10,Bulls,41-41,0.5,,,,,,,,,,,,,,,,,
2008-09,Bulls,41-41,0.5,,,,,,,,,,,,,,,,,
2007-08,Bulls,33-49,0.402,,,,,,,,,,,,,,,,,
2006-07,Bulls,49-33,0.598,,,,,,,,,,,,,,,,,
2005-06,Bulls,41-41,0.5,,,,,,,,,,,,,,,,,
2004-05,Bulls,47-35,0.573,,,,,,,,,,,,,,,,,
2003-04,Bulls,23-59,0.28,,,,,,,,,,,,,,,,,
2002-03,Bulls,30-52,0.366,,,,,,,,,,,,,,,,,
2001-02,Bulls,21-61,0.256,,,,,,,,,,,,,,,,,
2000-01,Bulls,15-67,0.183,,,,,,,,,,,,,,,,,
2016-17,Cavaliers,30-12,0.714,,,,,,,,,,,,,,,,,
2015-16,Cavaliers,57-25,0.695,,,,,,,,,,,,,,,,,
2014-15,Cavaliers,53-29,0.646,,,,,,,,,,,,,,,,,
2013-14,Cavaliers,33-49,0.402,,,,,,,,,,,,,,,,,
2012-13,Cavaliers,24-58,0.293,,,,,,,,,,,,,,,,,
2011-12,Cavaliers,21-45,0.318,,,,,,,,,,,,,,,,,
2010-11,Cavaliers,19-63,0.232,,,,,,,,,,,,,,,,,
2009-10,Cavaliers,61-21,0.744,,,,,,,,,,,,,,,,,
2008-09,Cavaliers,66-16,0.805,,,,,,,,,,,,,,,,,
2007-08,Cavaliers,45-37,0.549,,,,,,,,,,,,,,,,,
2006-07,Cavaliers,50-32,0.61,,,,,,,,,,,,,,,,,
2005-06,Cavaliers,50-32,0.61,,,,,,,,,,,,,,,,,
2004-05,Cavaliers,42-40,0.512,,,,,,,,,,,,,,,,,
2003-04,Cavaliers,35-47,0.427,,,,,,,,,,,,,,,,,
2002-03,Cavaliers,17-65,0.207,,,,,,,,,,,,,,,,,
